lm,bone,side,module
1,maxilla,L,rostrum
2,maxilla,L,rostrum
3,maxilla,L,rostrum
4,maxilla,L,rostrum
5,maxilla,L,rostrum
6,nasal_l,L,braincase
7,nasal_l,L,braincase
8,nasal_l,L,braincase
9,nasal_l,L,braincase
10,maxilla,R,rostrum
11,maxilla,R,rostrum
12,maxilla,R,rostrum
13,maxilla,R,rostrum
14,maxilla,R,rostrum
15,nasal_r,R,braincase
16,nasal_r,R,braincase
17,nasal_r,R,braincase
18,nasal_r,R,braincase
19,premaxilla,L,rostrum
20,premaxilla,R,rostrum
21,frontal,L,braincase
22,frontal,L,braincase
23,squamosal,L,braincase
24,squamosal,L,braincase
25,squamosal,L,braincase
26,squamosal,L,braincase
27,exoccipital,L,braincase
28,frontal,R,braincase
29,frontal,R,braincase
30,squamosal,R,braincase
31,squamosal,R,braincase
32,squamosal,R,braincase
33,squamosal,R,braincase
34,exoccipital,R,braincase
35,exoccipital,L,braincase
36,condyle,L,braincase
37,condyle,L,braincase
38,basioccipital,L,braincase
39,exoccipital,R,braincase
40,condyle,R,braincase
41,condyle,R,braincase
42,basioccipital,R,braincase
43,maxilla,R,rostrum
44,maxilla,R,rostrum
45,jugal,R,rostrum
46,palatine,R,rostrum
47,palatine,R,rostrum
48,maxilla,L,rostrum
49,maxilla,L,rostrum
50,jugal,L,rostrum
51,palatine,L,rostrum
52,palatine,L,rostrum
53,basioccipital,M,braincase
54,basioccipital_lr,R,braincase
55,basioccipital,M,braincase
56,basioccipital_ll,L,braincase
57,interparietal,L,braincase
58,interparietal,M,braincase
59,interparietal,R,braincase
60,supraoccipital,L,braincase
61,supraoccipital,M,braincase
62,supraoccipital,R,braincase
63,supraoccipital,M,braincase
64,maxilla,M,rostrum
