number,specimen,code,nasal_l,nasal_r,interparietal,basioccipital_ll,basioccipital_lr
1,Delphinapterus_1870.6.23.1,Deln1,,,,,
2,Delphinapterus_1932.60,Delj1,,,39,,
3,Delphinapterus_1933.10.13.1,Deln2,,,,,
4,Delphinapterus_1997.554,Delf3,4,9,,,
5,Delphinapterus_1997.555,Delf2,4,9,,,
6,Delphinapterus_1997.556,Delf1,4,9,,,
7,Delphinapterus_USNM22207,Delj2,,,,,
8,Delphinapterus_USNM238106,Dela2,,,,,
9,Delphinapterus_USNM305071,Dela1,,,39,,
10,Globicephala.mac_1853.9.18.26,Gloj1,,,,,
11,Globicephala.mac_1912.10.27.1,Gloa1,,,39,,
12,Globicephala.mel_1855.12.24.427,Glof2,,,,,
13,Globicephala.mel_1868.1.30.2,Gloj2,,,,,
14,Globicephala.mel_1939.2.18.2,Glon1,,,,,
15,Globicephala.mel_1954.3.25.1,Glon2,,,,,
16,Globicephala.mel_2021.3,Glof3,,,,,
17,Globicephala.mel_MM1946,Gloa2,,,39,,
18,Globicephala.mel_USNM012754,Glof1,4,9,,,
19,Globicephala.mel_USNM241129,Gloe1,,,,,
20,Lagenorhynchus.acu_1846.7.11.2,Lagf3,,,,,
21,Lagenorhynchus.acu_USNM504196,Laga1,,,39,,
22,Lagenorhynchus.alb_1847.4.4.2,Lagn1,,,,,
23,Lagenorhynchus.alb_1966.9.16.1,Lagj1,,,,,
24,Lagenorhynchus.alb_AMNH37162,Laga2,,,,,
25,Lagenorhynchus.obl_1937.9.1.1,Lagj2,,,,,
26,Lagenorhynchus.sp_1997.549,Lagf1,,,,34,
27,Lagenorhynchus.sp_1997.550,Lagf2,,,,,
28,Phocoena.diot_1922.11.3.1,Phoj1,,,,,
29,Phocoena.pho_1865.12.8.43,Phoj2,,,,,
30,Phocoena.pho_1889.2.14.11,Phof1,,,,,
31,Phocoena.pho_1939.17,Phon1,,,,,
32,Phocoena.pho_1943.21,Phoj3,,,,,
33,Phocoena.pho_1958.5.21.1,Phof7,,,,,
34,Phocoena.pho_1958.11.21.1,Phoa4,,,,,
35,Phocoena.pho_1997.558,Phof9,,,,,
36,Phocoena.pho_2021.2,Phoa3,,,,,
37,Phocoena.pho_AMNH212161,Phoa1,,,,,
38,Phocoena.pho_USNM010764,Phof5,,,,,
39,Phocoena.pho_USNM011127,Phof3,,,,,
40,Phocoena.pho_USNM243600,Phof6,,,,,
41,Phocoena.pho_USNM270633,Phof8,,,,,
42,Phocoena.pho_USNM504982,Phof4,,,,,
43,Stenella.att_1959.12.31.9,Staj2,,,,,
44,Stenella.att_1966.11.18.5,Staa1,,,39,,
45,Stenella.att_1990.91,Staj1,,,,,
46,Stenella.att_1990.92,Stan1,,,,,
47,Stenella.att_1997.536,Staf1,,,,,
48,Stenella.att_USNM504008,Staf5,,,,,
49,Stenella.att_USNM504020,Staf4,,,,,
50,Stenella.att_USNM504041,Staf2,,,,34,37
51,Stenella.att_USNM504048,Staf6,,,,,
52,Stenella.att_USNM504052,Staf3,,,,,
53,Stenella.cor_1965.1.6.2,Stcj1,,,39,,
54,Stenella.lon_1990.105,Stlj1,,,,,
55,Stenella.lon_1990.115,Stln1,,,,,
56,Stenella.lon_1990.122,Stlj2,,,,,
57,Stenella.lon_1992.107,Stln2,,,,,
58,Stenella.lon_USNM395270,Stla1,,,39,,
